"Age","Gender","Country","Membership_Years","Login_Frequency","Cart_Abandonment_Rate","Total_Purchases","Days_Since_Last_Purchase","Returns_Rate","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Credit_Balance","Churned"
38,"Female","Germany",2.1,10,38.9,15,14,17.7,1,51.3,16,2268,"0"
41,"Female","USA",3.6,17,51.4,10.4,7,5.1,2,19.6,19.7,1704,"0"
49,"Male","USA",2.1,18,45.4,29.9,3,1.3,2,25.2,25.6,2612,"0"
38,"Male","Japan",6.3,24,48.1,13,8,5.8,4,43.3,39.5,1896,"0"
35,"Male","USA",1.7,5,70.2,8,9,5.4,3,47.2,12.8,21,"0"
24,"Male","Germany",3.2,3,73.5,10.4,17,4.9,1,0.2,12.3,2218,"0"
23,"Male","Germany",0.3,26,46.5,14,20,3.4,3,53.7,32.2,3218,"0"
47,"Female","USA",4.8,16,41.7,20,14,5.4,4,29.8,32.9,4181,"0"
54,"Female","Canada",4,20,56.9,22,12,0.3,9,33.9,36.4,4435,"0"
37,"Male","USA",3.8,6,51.2,13,6,16.6,4,48.4,10.9,1,"0"
50,"Male","USA",1.9,19,27.4,19.5,18,13.1,5,42.7,18.6,2366,"0"
42,"Male","UK",1.5,25,34.5,26,25,11.4,8,68.9,18.6,1896,"0"
30,"Male","France",1.4,14,22.1,23.4,4,14.4,3,68.6,36.2,1896,"1"
42,"Male","Japan",3.5,6,76,4,124,0.3,1,0,2.3,1896,"1"
56,"Male","UK",5.4,9,54.3,10,53,3.5,1,0,20.9,728,"0"
37,"Male","India",4.3,7,59.8,16,12,3.3,2,40.7,19,3446,"0"
56,"Male","India",2.6,6,62.8,11.7,21,9.7,4,45.5,6.8,2499,"0"
18,"Male","UK",0.7,7,48.1,11,10,6.9,4,44.2,20.3,2660,"1"
47,"Male","USA",0.9,5,63.2,5,36,1,0,16.4,4,1903,"1"
39,"Male","USA",9.3,12,78.3,10,3,2.7,4,23.2,21.8,1636,"0"
38,"Male","UK",1.2,12,63.4,26,8,5.4,4,27.9,31.1,3337,"0"
39,"Male","UK",0.9,17,30.7,18,32,3.1,7,39.1,36.7,2526,"0"
18,"Female","Germany",0.8,5,68.8,2.6,15,5.4,0,0,3.2,1100,"1"
35,"Female","Germany",1.3,12,61.3,6,43,5.3,0,27.1,18.7,829,"0"
42,"Male","Canada",1.6,2,61.8,7,6,2.9,0,38,16.8,2199,"0"
55,"Male","USA",5.3,18,62,24.7,74,1.9,5,36.6,29.4,3579,"0"
38,"Male","UK",3.6,3,58.5,14,14,7,2,28.7,12.3,1896,"0"
28,"Male","UK",0.2,31,32,16,67,3.3,6,52.2,32.5,1834,"1"
31,"Male","Germany",3.6,32,20.7,18,11,5.5,4,27.2,18.6,3150,"0"
48,"Male","USA",6.3,21,65.8,12,61,5.5,3,27.6,13.3,4115,"0"
41,"Male","USA",3.4,23,46.8,15,48,17,1,35.2,27.8,2442,"0"
31,"Female","USA",1.2,32,46.3,19,21,2.9,5,27.6,18.6,2134,"0"
44,"Female","Canada",1.8,6,72.2,4,31,6.7,0,0,12.9,263,"0"
39,"Female","France",2.1,14,46.2,18,91,12,5,45.1,26.4,1454,"0"
49,"Female","Australia",2.5,14,36,19.5,20,9.9,4,28.7,20.9,1957,"0"
29,"Male","France",1.9,5,87.1,7,57,2.1,2,9.5,5.6,1896,"1"
34,"Female","France",2.9,24,45.8,31.2,9,5.4,4,22.7,30.2,3404,"1"
38,"Male","USA",3.2,19,30.7,12,51,6.8,5,35.9,29.2,1298,"1"
20,"Female","India",2.7,9,50.2,20.8,22,2.4,3,44.6,16.6,3169,"0"
41,"Female","USA",2.3,5,90.2,4,30,5.4,0,0,4.7,218,"1"
41,"Male","Canada",3.6,9,69,13,8,0.2,3,8.3,24.5,2066,"0"
38,"Female","USA",2.5,18,45.7,19.5,13,12.1,3,45.6,25.2,798,"1"
35,"Male","Canada",2.8,21,42,26,42,5.5,3,49.2,34.2,5993,"0"
21,"Male","USA",1.5,0,80.8,8,21,2.1,1,28.6,18.6,1015,"0"
32,"Female","Germany",4,1,73.1,15.6,2,4.7,2,4.5,5.8,1013,"0"
33,"Male","USA",6.6,27,54.8,18,21,0.6,6,14.8,23.2,4225,"0"
28,"Female","USA",5.3,0,82.7,4,1,1.5,1,0,11.9,1896,"1"
36,"Male","France",1.2,10,62.2,6,32,8.8,3,0.6,2.4,2249,"0"
42,"Male","USA",3.4,7,62.5,10,24,7,2,4.7,18.9,2656,"0"
60,"Female","India",7.7,29,4.9,21,3,6.5,4,57.5,30.1,2515,"0"
40,"Female","USA",4.4,5,63.2,9.1,108,6.4,1,2.7,18.6,691,"1"
41,"Male","Canada",2.7,20,46,20,80,5.1,5,35.4,26.5,3422,"0"
37,"Male","India",0.9,16,36.9,15,23,9.5,2,27.6,19.4,1335,"0"
38,"Female","UK",0.8,3,68.4,6,43,2.2,5,8.1,16.7,1804,"0"
37,"Female","USA",4.1,13,48,13,76,18.7,4,59.8,27.7,2598,"0"
38,"Male","Japan",9.1,3,51.9,14,127,5.7,3,60.6,16.5,1896,"0"
67,"Female","UK",0.8,27,39.5,19,14,3.1,6,35.9,28.8,2416,"0"
35,"Female","Germany",1.7,5,71.7,5,3,3.3,1,3.3,18.6,137,"0"
41,"Male","India",2.7,6,76.2,6,3,4.2,2,22.8,13.3,862,"0"
37,"Male","USA",1,4,65.5,16,23,7.6,4,34.2,8.8,0,"0"
23,"Male","Canada",1.1,12,45.1,17,66,6.7,9,37.8,26.8,2757,"0"
51,"Female","Germany",1.7,8,51.5,12,34,3.1,1,69,11.5,1607,"0"
47,"Female","UK",2.1,9,62.3,6,1,2.7,2,10,15.5,3482,"0"
47,"Female","Germany",1.2,10,52.9,16.9,23,11.9,2,50.3,11.8,802,"0"
27,"Female","Australia",2.9,7,68.9,8,2,11.4,2,0.9,11.4,0,"1"
54,"Female","USA",7.4,14,43.6,26,29,5.4,10,27.6,25.6,3774,"0"
21,"Male","USA",0.1,10,69.2,6,1,6.1,1,0,22.2,405,"0"
45,"Male","USA",2.3,28,23.4,31.2,21,2.1,8,51.5,29.9,2231,"0"
64,"Male","Japan",2.6,5,77.3,4,1,0.9,0,0,6.7,1105,"0"
26,"Other","USA",0.9,10,67.8,6,11,6.4,3,13.1,11.2,0,"0"
31,"Female","UK",3.3,6,73.6,6,2,4,3,60.1,20.4,551,"0"
38,"Female","Canada",3.4,0,74.7,7.8,12,0.3,1,28.8,18.6,1445,"0"
31,"Male","USA",3.7,8,70.6,4,3,1.7,1,29.1,10,0,"0"
19,"Female","UK",2.3,7,70.3,6,0,11.1,3,37.6,15.4,1896,"0"
38,"Male","USA",0.8,10,80.6,5,34,7.3,0,0,0.5,382,"0"
25,"Female","Australia",9.5,11,47.3,15.6,21,7.7,3,16.4,18.6,2615,"0"
43,"Male","Australia",3.4,13,63.1,8,65,6.7,3,29.4,19.4,1549,"0"
38,"Male","UK",0.9,28,48,20,33,8.4,6,15.1,21.1,0,"0"
38,"Male","UK",1.4,8,50.5,9.1,15,3.8,1,37.7,17.2,2015,"0"
28,"Female","USA",1.6,12,55.6,10,21,7.7,2,0,13.1,1870,"0"
34,"Female","UK",0.2,10,79.8,15,8,2.6,0,0.8,15.4,1896,"1"
47,"Male","UK",5.4,9,91.1,8,9,3.7,2,20.3,7.3,924,"0"
23,"Female","UK",0.6,8,37.2,19.5,6,0.7,3,27.9,33.2,4041,"1"
40,"Female","UK",2.2,17,55,16,15,5.4,4,65.1,28.1,2709,"0"
53,"Female","USA",1.5,18,70.3,7,61,9.1,1,14,8.8,1653,"1"
18,"Female","USA",1.9,8,70.5,2,5,8.4,1,0,13.5,1658,"1"
40,"Male","UK",5.2,2,78.2,5,1,3.8,1,0,13.5,1335,"0"
41,"Female","UK",2.5,5,41.1,9,12,12.2,4,27.6,18.6,1287,"0"
47,"Male","USA",1.6,6,60.1,3.9,8,6.2,1,11.2,13.1,1312,"0"
23,"Male","Germany",1.3,19,44.5,16,130,4.5,2,29.1,30.2,1896,"1"
22,"Female","USA",4.5,0,54.6,7.8,21,6,0,0,15.3,1896,"1"
44,"Male","USA",3.7,7,59.1,10.4,8,10.8,1,0.3,17.1,0,"0"
38,"Female","Canada",4.6,23,52.4,24.7,30,7.1,5,76.8,33.4,3676,"0"
41,"Male","USA",1.2,5,63.1,7,42,9,3,45.6,2.2,885,"0"
42,"Male","USA",4.7,3,59.2,7.8,5,1.1,3,8.5,16.9,1549,"0"
29,"Female","USA",0.1,4,48.8,10,21,7.1,7,34.5,18.6,2278,"0"
40,"Female","India",0.6,4,87.7,6.5,3,10,2,10.5,18.6,781,"1"
41,"Female","USA",2.4,0,63.3,4,27,6.2,0,6.7,9.4,0,"1"
29,"Male","Australia",0.6,6,42.6,15,40,5.4,2,25.5,24.3,2549,"1"
38,"Female","France",1.3,9,64.1,5,2,4.3,2,5.5,13.6,1602,"0"
43,"Male","Australia",5.2,18,65.4,4,23,2.8,2,47.5,13,2737,"0"
23,"Male","Canada",1.3,11,76.2,7,43,4.2,3,27.6,9.9,1896,"1"
45,"Female","USA",4.7,3,73.5,7,3,5.4,0,0,1,2487,"0"
26,"Female","France",2.3,15,58.3,15.6,1,5.4,1,22.8,13.1,3177,"0"
47,"Male","Canada",2.4,6,81.3,6,2,6.4,1,25.3,19,1101,"0"
51,"Male","Canada",2.7,2,61,9,51,0.9,4,22.9,7.4,1896,"0"
38,"Female","Canada",5.7,16,71.2,7,49,5.1,1,0,12.6,1409,"0"
49,"Female","USA",2.3,8,58.6,9,9,5.4,1,27.6,18.9,2507,"0"
42,"Male","USA",2.8,10,75.2,8,67,1.3,2,32.9,8.5,1896,"0"
38,"Female","Japan",2.1,31,44.4,21,4,7.5,9,64.7,18.6,3586,"0"
60,"Male","Australia",1.1,4,60.9,16.9,6,10.6,1,14.9,19.4,301,"0"
35,"Male","UK",1.9,7,57.9,7,85,2.8,2,6.2,12.4,2365,"0"
28,"Male","Japan",0.8,0,58.6,13,2,22.8,3,0,7.2,1058,"0"
27,"Male","USA",2.5,19,51.5,16.9,20,10.9,3,48.8,21.7,1490,"0"
28,"Male","USA",4.5,12,58.1,9,21,1,5,32.7,25.2,2622,"0"
37,"Male","Canada",2.2,16,46.1,14,51,25.6,2,19.1,13,2150,"1"
42,"Male","Germany",1.1,7,88,4,180,5.8,0,7.9,10.3,1896,"1"
41,"Female","Australia",2.3,9,47.5,13,17,5.6,2,32.4,18.6,1569,"0"
47,"Female","France",1,8,37.5,16,37,4.5,1,56.6,25.8,2365,"1"
38,"Male","Germany",0.5,23,41.7,15,27,3.1,4,46.3,29.6,1572,"0"
55,"Male","Japan",1.3,13,49.8,7,21,5.7,2,0,8.7,1191,"0"
38,"Male","Canada",6.7,24,16,28.6,54,7.2,4,66,38.6,4728,"0"
70,"Female","USA",0.3,33,36.9,22,89,8.6,5,27.6,31.7,4087,"0"
45,"Female","Canada",1.5,8,66.7,13,0,5.4,1,0,15.4,300,"0"
27,"Female","France",2.7,12,70.2,8,62,2.9,2,36.8,7.2,271,"0"
25,"Male","India",2.5,20,61.8,18,41,14.1,5,35.5,21.5,1896,"0"
43,"Male","UK",8.1,19,70.3,9.1,70,2.3,2,0,9.4,483,"0"
35,"Male","USA",3.6,6,48.8,10,30,2.2,0,37.3,18.6,1568,"0"
46,"Male","USA",3.1,14,45.6,12,33,4.2,5,32.7,18.6,2362,"0"
43,"Female","India",1.3,1,69.7,6,18,0.8,3,10.1,10.9,1334,"0"
37,"Female","Japan",1.9,9,41.2,15,63,5.6,0,54.3,18.6,2638,"0"
27,"Female","USA",10,16,50.9,14,10,6,4,22.1,17.2,1057,"0"
19,"Female","Germany",2.3,21,43.3,14,10,3.8,3,23.6,18.3,1896,"1"
32,"Male","UK",0.1,14,42.5,27,7,7.1,7,33.4,23.8,2378,"0"
48,"Female","Canada",1.1,13,77.3,9,30,5.4,5,29.9,11.1,1896,"0"
38,"Female","USA",1,25,27.7,24,68,11.2,5,50.4,34.5,4307,"0"
23,"Male","Japan",3.2,9,57.3,11,59,0.3,2,35.5,20.3,2915,"0"
40,"Female","UK",3.5,24,12.7,25,19,15.9,7,80.2,34,4414,"0"
38,"Female","France",3.4,1,72.2,11.7,13,2.4,1,27.6,19.3,1729,"0"
27,"Male","Canada",0.4,6,57.7,9.1,21,6.6,1,14.1,15.9,0,"0"
39,"Male","Australia",4.1,9,74.6,13,13,9.7,3,6.7,20,571,"0"
38,"Male","Germany",0.6,21,35.6,15,21,6,3,69,18.4,2992,"0"
24,"Male","USA",5,4,63.3,11,15,6.9,2,23.6,12.9,848,"1"
42,"Male","UK",4.3,5,71.9,11,20,5.4,4,0,3.2,1578,"1"
44,"Female","France",6.1,2,78.1,8,68,7.4,1,24.5,19.9,3116,"0"
50,"Female","USA",2.2,3,55.8,10,21,4.9,2,26,12.3,2271,"0"
50,"Male","France",9,14,44.4,14,2,2,2,27.8,23.2,2214,"0"
21,"Male","Germany",0.9,16,82.1,9,23,10.2,3,2.9,10,1838,"1"
26,"Female","USA",3.1,13,42.4,21,89,5,7,21.9,32.8,1896,"0"
44,"Male","Australia",0.9,19,46.7,11,65,3.5,2,28.8,21.7,3212,"1"
44,"Male","Canada",2,19,29.7,18,82,15.5,3,51,18.6,2440,"0"
44,"Female","India",4.8,18,65,12,8,2,4,27.6,17,1919,"1"
75,"Male","USA",1,6,60.4,11,78,12.7,1,5.9,16,3097,"0"
44,"Female","Australia",3.7,26,49.3,16,66,0.8,4,68,31.7,2761,"0"
51,"Male","France",2.4,2,67.1,6,12,3.9,3,1.8,11.4,1484,"0"
49,"Female","Germany",1,10,52.7,20.8,61,16,5,44,18.6,1896,"1"
45,"Female","Canada",1.2,4,79.9,9.1,15,13.4,2,15.2,10,1896,"1"
34,"Other","Canada",1,16,51.1,16.9,21,2.2,0,22.7,25.7,1491,"1"
47,"Female","Australia",0.9,14,47,12,1,4.3,2,16.6,21.1,1896,"0"
28,"Male","Japan",3.4,10,24.5,15,62,1.1,7,27.7,27.1,2365,"0"
35,"Male","UK",1,8,83.8,14,20,1.4,4,25.7,11.1,3097,"1"
32,"Male","Canada",3.2,9,63,12,2,3.5,2,26.5,13.9,1499,"0"
38,"Female","USA",2,12,65.4,4,61,7,0,27.7,7.8,2450,"1"
65,"Female","UK",3.4,5,60.9,6,75,0.7,2,9.5,18.6,0,"1"
18,"Female","USA",0.6,21,17.9,18,21,5.4,5,34.5,35.6,2795,"0"
46,"Male","USA",2.4,10,78.9,14.3,20,4,1,20.6,8.5,938,"1"
18,"Male","France",1.5,23,62.3,15,1,12.6,3,25.7,20.5,3524,"0"
32,"Male","USA",2.8,8,41.7,30,112,0.9,2,25,20,3072,"0"
51,"Female","Australia",3.1,4,48.4,9,4,8.4,4,9.8,16.7,1250,"0"
38,"Male","UK",6.5,11,39.4,14,27,2.4,6,27.6,18.6,1685,"0"
25,"Male","Australia",3.4,3,55.4,13,95,1.9,3,34.7,21.8,2510,"0"
29,"Female","UK",3.7,7,58.5,8,23,3.6,5,15.1,17.7,1257,"0"
46,"Male","Australia",7.3,2,48.5,17,69,6.3,2,15.3,15.9,2779,"1"
29,"Male","Australia",3.6,0,72.5,6,57,21.1,0,38.8,10.4,2544,"1"
40,"Male","UK",6.5,20,49.2,14,7,9.1,3,59.7,21.6,3812,"0"
38,"Female","India",2.7,23,51.3,14,12,3,2,39.8,16.6,2324,"0"
30,"Female","USA",5.5,0,98.4,4,6,2.1,1,18.3,8.5,1896,"1"
63,"Male","UK",4.8,7,52.9,11.7,134,4.2,1,26.2,2.3,1220,"1"
45,"Male","UK",3.1,8,51.7,9,126,2.8,1,27.6,19.7,396,"1"
18,"Female","France",3.6,0,76.9,11.7,4,18.3,0,0,3,939,"1"
40,"Female","UK",2.8,8,54.2,9,79,14.6,1,2.8,7.8,342,"0"
30,"Male","USA",2.6,10,59.4,13,33,9.3,5,25.4,12.3,972,"0"
48,"Female","USA",7.4,4,96.2,2,57,9.1,1,0,7.3,1820,"1"
28,"Female","Australia",2.3,19,65.7,19.5,48,6.9,5,19.6,35.5,3266,"0"
36,"Female","Germany",1.9,20,54.5,14,13,0.9,2,41.1,35.6,2964,"0"
44,"Female","USA",3.1,28,27,22.1,18,11.1,2,50.6,33,4178,"0"
48,"Male","India",2.6,20,38.4,15,30,12,0,57.2,23.6,818,"1"
23,"Female","France",1.7,12,63.4,7,11,2.6,1,27.6,14.7,1167,"0"
33,"Male","France",5.3,13,36.9,17,23,6.9,3,80.4,18.3,1896,"0"
32,"Female","UK",3.4,34,21.5,21,29,5.2,7,72.1,36.9,2973,"0"
30,"Female","France",5.2,7,73.9,10.4,51,8.3,1,19.8,19.4,1199,"1"
59,"Female","Canada",6.9,9,55.7,13,13,2.2,2,21,19.3,2348,"0"
42,"Male","France",2.7,25,20.7,29.9,20,5.9,5,58.8,23.8,3734,"0"
22,"Female","USA",0.9,13,52,21,17,9.9,2,50.9,27.6,2181,"1"
49,"Female","Canada",1.3,33,10.1,33,49,0.6,3,27.6,44.8,6187,"0"
63,"Male","USA",4.8,11,62.6,18.2,6,13.9,4,51.3,12.8,2330,"0"
38,"Male","USA",1.6,0,84,5.2,32,8,2,0,13.1,0,"1"
19,"Male","Australia",5.1,16,44.8,18,25,12.2,2,38.1,29.5,1684,"0"
32,"Female","Germany",7.3,2,62,9.1,0,5.5,2,8.7,12.9,428,"0"
53,"Male","Australia",5.5,0,66.8,10.4,22,8.8,0,0,14,2195,"0"
29,"Male","Canada",1.9,4,62.2,3.9,3,9.5,0,1.9,12.2,1896,"1"
43,"Male","UK",1.5,12,64.6,11.7,19,5,2,21.3,24,1896,"0"
47,"Female","Australia",7.5,1,83,6,46,9.6,0,0,11.1,951,"1"
26,"Female","USA",1.9,7,61.3,7,9,5.2,1,17.5,10.1,1213,"0"
37,"Male","Germany",1.6,11,52.6,15,96,4.6,3,22.9,14.5,2298,"0"
18,"Female","Canada",5.4,23,38.9,17,55,3.7,4,27.6,44.1,2390,"0"
25,"Female","USA",2,20,57.3,18,21,3.8,4,37.7,18.6,1517,"0"
34,"Male","USA",2.9,13,50.3,15,32,7.4,4,37.5,26.5,1896,"0"
23,"Male","Canada",4.5,4,85.4,6.5,30,1.8,1,9.2,14.9,0,"1"
57,"Female","USA",9.7,3,67.4,9,2,5,6,0,9.2,1610,"0"
20,"Female","USA",1.9,6,57.3,18,37,1.4,0,22.8,15.8,621,"1"
32,"Male","USA",0.9,13,64.7,12,89,1.4,1,42.2,18.6,3009,"0"
39,"Female","USA",0.3,9,40.2,9,9,2.7,1,38.2,18.6,1781,"0"
55,"Male","Japan",2.3,15,48.4,20.8,39,2.2,4,13.2,22.7,1896,"0"
20,"Female","UK",2.4,7,54.7,14.3,6,11,2,36.4,18.6,2801,"0"
51,"Female","India",1.5,8,76.9,10.4,20,3.1,2,0.7,14.6,0,"1"
38,"Female","Australia",1.7,5,38,18.2,2,1.9,5,32.4,2.9,926,"1"
26,"Male","USA",1.4,14,51.2,9,14,13.6,2,22.4,15,1896,"1"
43,"Female","India",2.1,9,59.1,4,20,6.5,0,0,10.4,1597,"0"
40,"Female","USA",2.4,20,39.2,18,19,3.2,7,41.6,29.2,3609,"0"
30,"Female","USA",0.5,15,45.6,23.4,10,16.7,2,33,31.6,4219,"0"
38,"Male","USA",2,3,54.4,3,5,6.5,0,22.8,0.8,1629,"0"
33,"Male","UK",8,19,38.8,25,21,3.2,7,86.2,32.9,5330,"0"
39,"Other","USA",2.8,22,57.4,15,6,2.2,2,7.6,25.9,3608,"1"
45,"Female","Australia",2.9,11,41.9,10,2,5.4,2,28.4,12.4,158,"0"
57,"Male","USA",5.7,24,44.3,23,21,0.4,2,27.6,20.3,1961,"0"
23,"Male","UK",2.2,1,77.9,8,10,2.8,1,0,13.5,1275,"1"
63,"Male","USA",1.9,10,68,6,35,5.4,2,27.6,10,1203,"0"
18,"Male","Germany",2.7,16,38,7,25,9.3,2,0,17.5,1938,"0"
36,"Male","UK",2.2,8,43,6,24,0.5,1,34.4,32.9,1661,"0"
45,"Male","USA",4.2,12,59.9,4,0,5.4,1,28.4,13.1,1052,"0"
41,"Female","UK",2.4,26,53.4,12,21,8.9,2,20,32.6,2592,"0"
30,"Male","UK",1.5,3,68,4,8,2.7,3,0,10.5,427,"0"
35,"Other","India",3.2,7,63.7,12,2,9.6,3,23.8,17.3,1896,"1"
32,"Female","Canada",2.2,1,80.2,6.5,7,2.4,0,33.9,13.1,790,"1"
30,"Male","Australia",3.1,28,30.4,23,25,10.2,4,59.9,28,1859,"1"
48,"Female","USA",4.9,14,48.3,17,70,8.2,4,40.8,18.6,3562,"0"
42,"Female","USA",8.8,39,1.3,37.7,23,0.6,7,84.4,48.5,4963,"0"
29,"Male","USA",4,17,47.1,25,16,9.7,6,45.6,17.8,2440,"0"
48,"Female","India",5.2,0,73.5,4,28,6.2,1,0,14.5,1551,"1"
38,"Male","USA",4.5,22,21.1,23,29,2.5,7,87.4,48.4,5234,"0"
47,"Female","UK",2,5,64.1,8,13,8.8,2,20,27.9,3187,"0"
45,"Female","USA",1.2,0,79.3,6.5,42,0.3,0,0,9.9,0,"1"
38,"Male","France",3,12,73.9,9.1,63,2.8,0,0,11.4,1272,"1"
31,"Male","UK",1,12,73.4,6,15,9.8,1,0,23.9,1772,"0"
46,"Female","Canada",2.9,19,53.6,14,1,1.5,5,27.6,25.8,2701,"0"
45,"Male","USA",2.8,10,64.4,7,29,12.8,2,34.2,18.6,0,"0"
37,"Male","UK",1.1,11,67,15.6,14,16.5,3,55.2,18.7,1896,"0"
39,"Female","USA",2.3,5,72.5,7,10,2.2,2,33.5,18.6,461,"0"
53,"Female","USA",1.3,10,70.8,4,4,4.7,0,13.4,20.2,1065,"0"
30,"Male","USA",1.8,0,70.2,5,26,4.9,0,3.7,12,1606,"1"
44,"Female","UK",4.4,23,43.3,14,75,18.4,4,27.6,23.2,3920,"0"
35,"Male","India",5.6,0,67.6,5.2,21,8.3,0,0,18.6,1896,"1"
35,"Female","UK",1.6,6,45.8,19,20,10.7,4,29.8,30.5,2966,"0"
51,"Female","India",0.249093092806162,16,66.7,66,15,81.5135327608781,1,38.5,16,1384,"0"
47,"Female","France",4.7,14,77.4,16,21,5.4,5,27.6,18.6,2430,"1"
38,"Female","France",4.5,21,63.8,16.9,13,3.5,3,74.3,28.4,2477,"0"
53,"Male","France",0.9,0,63.6,7,103,0.4,4,45.4,11.1,0,"0"
38,"Female","Germany",2.9,25,45.2,19.5,11,2.3,8,32,23,2496,"0"
46,"Female","USA",3.7,12,71.2,9,21,0.7,0,13.5,20.6,3773,"0"
